feature,importance
TransactionAmt,3808
TransactionHour,2049
P_email_provider,1978
TransactionDayOfWeek,1725
amount_decimal,1709
DeviceInfo_brand,1014
R_email_provider,726
card4_card6,690
payment_familiarity_email_status,643
TransactionAmt_log,584
amount_bucket_time_of_day,578
payment_familiarity_ProductCD,531
id_31_browser_family,451
amount_cents,440
card4,439
os_browser_combo,429
amount_bucket_ProductCD,426
distance_signal_bucket,394
card6,342
device_familiarity_ProductCD,318
id_33_screen_height,315
id_33_screen_area,292
DeviceType_ProductCD,287
id_33_screen_width,285
rare_payment_identifier_flag,280
id_33_aspect_ratio,279
P_email_suffix,271
distance_bucket_ProductCD,224
identity_completeness_ProductCD,195
payment_identifier_familiarity_bucket,188
id_31_browser_version_available,179
screen_size_bucket,165
night_ProductCD,164
is_large_dist1,161
time_of_day_bucket,145
amount_decimal_places,142
email_mismatch_ProductCD,140
proxy_ProductCD,135
amount_bucket,121
identity_missing_count,108
common_payment_identifier_flag,104
device_familiarity_bucket,103
R_email_suffix,97
id_30_os_family,89
emails_match,88
is_business_hours,82
addr_missing_count,81
email_relationship_status,80
is_mobile_device,80
address_distance_status,72
ProductCD,64
identity_completeness_bucket,63
high_amount_ProductCD,54
missing_P_email,52
rare_payment_identifier_large_distance,45
both_emails_missing,44
night_transaction_large_distance,42
same_email_suffix,39
email_domain_familiarity_bucket,37
high_amount_rare_payment_identifier,36
only_recipient_email_missing,36
id_23_anonymous_flag,32
has_identity_info,31
device_missing,29
missing_addr1,29
rare_device_flag,25
DeviceType,24
rare_email_domain_flag,22
night_transaction_missing_identity,22
missing_dist1,22
is_desktop_device,21
is_weekend,21
email_mismatch_rare_payment_identifier,20
id_30_os_version_available,19
email_domain_mismatch,18
missing_R_email,13
high_amount_large_distance,10
same_email_provider,10
network_proxy_type,10
id_23_missing,10
email_mismatch_missing_identity,9
high_amount_off_hours,8
high_amount_missing_identity,8
has_3_decimal_amount,7
id_23_transparent_flag,7
is_night,7
email_mismatch_proxy_flag,6
high_amount_missing_email,5
screen_missing,5
is_round_amount,3
is_high_amount,3
missing_identity_flag,3
id_23_hidden_flag,1
rare_payment_identifier_proxy_flag,1
missing_addr2,1
id_23_proxy_flag,0
proxy_and_rare_device,0
high_amount_rare_device,0
missing_address_and_distance,0
address_signal_available,0
unusual_screen_ratio,0
high_amount_proxy_flag,0
high_amount_rare_email_domain,0
